the_geom,the_geom_webmercator,collection_date,count,test_result,etl_timestamp,objectid
,,2022-10-29 04:00:00+00,92,positive,2024-12-09 16:00:01.938486+00,283486
,,2020-07-08 04:00:00+00,3643,negative,2024-12-09 16:00:01.938486+00,283487
,,2020-11-16 05:00:00+00,1180,positive,2024-12-09 16:00:01.938486+00,283488
,,2023-05-06 04:00:00+00,10,positive,2024-12-09 16:00:01.938486+00,283489
,,2022-12-30 05:00:00+00,1005,negative,2024-12-09 16:00:01.938486+00,283490
,,2021-04-04 04:00:00+00,2617,negative,2024-12-09 16:00:01.938486+00,283491
,,2023-05-20 04:00:00+00,105,negative,2024-12-09 16:00:01.938486+00,283492
,,2020-11-30 05:00:00+00,5829,negative,2024-12-09 16:00:01.938486+00,283493
,,2023-01-17 05:00:00+00,284,positive,2024-12-09 16:00:01.938486+00,283494
,,2021-04-22 04:00:00+00,527,positive,2024-12-09 16:00:01.938486+00,283495
,,2020-12-22 05:00:00+00,7649,negative,2024-12-09 16:00:01.938486+00,283496
,,2023-06-03 04:00:00+00,95,negative,2024-12-09 16:00:01.938486+00,283497
,,2021-05-02 04:00:00+00,212,positive,2024-12-09 16:00:01.938486+00,283498
,,2023-02-04 05:00:00+00,165,positive,2024-12-09 16:00:01.938486+00,283499
,,2023-09-04 04:00:00+00,70,positive,2024-12-09 16:00:01.938486+00,283500
,,2021-09-19 04:00:00+00,3133,negative,2024-12-09 16:00:01.938486+00,283501
,,2022-01-30 05:00:00+00,215,positive,2024-12-09 16:00:01.938486+00,283502
,,2022-10-03 04:00:00+00,1732,negative,2024-12-09 16:00:01.938486+00,283503
,,2022-06-12 04:00:00+00,181,positive,2024-12-09 16:00:01.938486+00,283504
,,2024-01-25 05:00:00+00,281,negative,2024-12-09 16:00:01.938486+00,283505
,,2020-07-14 04:00:00+00,195,positive,2024-12-09 16:00:01.938486+00,283506
,,2021-03-28 04:00:00+00,2732,negative,2024-12-09 16:00:01.938486+00,283507
,,2023-05-11 04:00:00+00,22,positive,2024-12-09 16:00:01.938486+00,283508
,,2020-11-23 05:00:00+00,1293,positive,2024-12-09 16:00:01.938486+00,283509
,,2022-12-25 05:00:00+00,807,negative,2024-12-09 16:00:01.938486+00,283510
,,2021-05-25 04:00:00+00,116,positive,2024-12-09 16:00:01.938486+00,283511
,,2021-02-01 05:00:00+00,2681,negative,2024-12-09 16:00:01.938486+00,283512
,,2023-03-01 05:00:00+00,114,positive,2024-12-09 16:00:01.938486+00,283513
,,2023-07-12 04:00:00+00,121,negative,2024-12-09 16:00:01.938486+00,283514
,,2022-11-11 05:00:00+00,144,positive,2024-12-09 16:00:01.938486+00,283515
,,2020-06-09 04:00:00+00,2322,negative,2024-12-09 16:00:01.938486+00,283516
,,2023-08-10 04:00:00+00,143,negative,2024-12-09 16:00:01.938486+00,283517
,,2022-07-07 04:00:00+00,2288,negative,2024-12-09 16:00:01.938486+00,283518
,,2023-12-17 05:00:00+00,97,positive,2024-12-09 16:00:01.938486+00,283519
,,2021-10-18 04:00:00+00,267,positive,2024-12-09 16:00:01.938486+00,283520
,,2022-03-06 05:00:00+00,1458,negative,2024-12-09 16:00:01.938486+00,283521
,,2022-11-14 05:00:00+00,1905,negative,2024-12-09 16:00:01.938486+00,283522
,,2023-08-13 04:00:00+00,42,positive,2024-12-09 16:00:01.938486+00,283523
,,2023-12-14 05:00:00+00,209,negative,2024-12-09 16:00:01.938486+00,283524
,,2020-06-22 04:00:00+00,130,positive,2024-12-09 16:00:01.938486+00,283525
,,2022-07-04 04:00:00+00,160,positive,2024-12-09 16:00:01.938486+00,283526
